COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 21/03/2025 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MARCH DE 2025; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 22056 
 NOMBRE    : HIGUERILLAS 
 ESTADO    : QUERÉTARO 
 MUNICIPIO : CADEREYTA DE MONTES 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 20.91444444 ° 
 LONGITUD  : -99.76305556 ° 
 ALTITUD   : 1597 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1982-01-07	0	NULO	NULO	NULO
1982-01-08	0	3.7	22	9
1982-01-09	0	2	22	8
1982-01-10	0	4	23	5
1982-01-11	0	2.1	18	10
1982-01-12	0	1.1	27	4
1982-01-13	0	6.7	27	8
1982-01-14	0	4.1	27	5
1982-01-15	0	4.9	24	1
1982-01-16	0	6.1	25	3
1982-01-17	0	4.2	25	4
1982-01-18	0	4.8	22	4
1982-01-19	0	3	20	7
1982-01-20	0	2.2	22	4
1982-01-21	0	3.3	32	5
1982-01-22	0	8.1	31	9
1982-01-23	0	5.2	25	9
1982-01-24	0	4.2	27	5
1982-01-25	0	4.3	29	6
1982-01-26	0	7.7	21	10
1982-01-27	0	2.8	23.5	4
1982-01-28	0	5.3	27.5	7
1982-01-29	0	5.3	29	5
1982-01-30	0	5.2	27	6
1982-01-31	0	4.3	28	5
1982-02-01	0	3.4	23	3
1982-02-02	0	4.2	28	2
1982-02-03	0	5.4	26	6
1982-02-04	0	6.2	28	4
1982-02-05	0	3.7	27	5
1982-02-06	0	5	28	5
1982-02-07	5	5.9	30	5
1982-02-08	0	6.3	30	8
1982-02-09	0	7.7	31	9
1982-02-10	0	4.9	31	6
1982-02-11	0	6.3	31	8
1982-02-12	0	8.4	31	8
1982-02-13	2.1	6.3	28	8
1982-02-14	0	5.9	35	5
1982-02-15	0	NULO	37	8
1982-02-16	0	NULO	39	10
1982-02-17	0	NULO	41	7
1982-02-18	0	NULO	41	9
1982-02-19	0	NULO	20	9
1982-02-20	0	NULO	29	10
1982-02-21	0	NULO	33	11
1982-02-22	0	NULO	33	4
1982-02-23	0	NULO	39	7
1982-02-24	0	NULO	40	9
1982-02-25	2.5	NULO	39	10
1982-02-26	3.4	NULO	23	2
1982-02-27	2.8	NULO	22	9
1982-02-28	0	NULO	20	8
1982-03-01	0	4.3	21	5
1982-03-02	0	4	22.5	6
1982-03-03	0	3.7	22	9
1982-03-04	0	4.3	24.5	7.5
1982-03-05	0	4.6	25	10
1982-03-06	0	5.4	26.5	11.5
1982-03-07	0	6.2	19	10.5
1982-03-08	0	3.1	20	2
1982-03-09	0	3.4	23	3
1982-03-10	0	5.2	24.5	6
1982-03-11	0	5.4	25.5	7
1982-03-12	0	5.7	27	8.5
1982-03-13	0	6.4	29.5	10
1982-03-14	0	8.1	30.5	9.5
1982-03-15	0	8.7	30	11
1982-03-16	0	7.9	29.5	12.5
1982-03-17	0	7.6	27.5	11
1982-03-18	0	6.8	28	10.5
1982-03-19	0	7.1	28.5	9.5
1982-03-20	0	7.3	29.5	9
1982-03-21	0	7.1	29	10
1982-03-22	0	8.3	26	9
1982-03-23	0	6.8	27	10
1982-03-24	0	6.8	29.5	9.5
1982-03-25	0	8.1	28	10
1982-03-26	0	7.3	29.5	10
1982-03-27	0	7.4	30	7
1982-03-28	0	8.1	27	9.5
1982-03-29	0	6.3	29	9
1982-03-30	0	6.8	30	10
1982-03-31	0	8.4	31	11
1982-04-01	0	NULO	31	13
1982-04-02	0	NULO	35	12
1982-04-03	0	NULO	33	10
1982-04-04	0	NULO	31	15
1982-04-05	0	NULO	46	12
1982-04-06	0	NULO	42	13
1982-04-07	0	NULO	38	14
1982-04-08	0	NULO	29	13
1982-04-09	0	NULO	31	11
1982-04-10	0	NULO	39	12
1982-04-11	0	NULO	45	11
1982-04-12	0	NULO	43	10
1982-04-13	0	NULO	44	13
1982-04-14	0	NULO	46	13
1982-04-15	0	NULO	46	17
1982-04-16	0	NULO	32	17
1982-04-17	0	NULO	35	11
1982-04-18	0	NULO	45	10
1982-04-19	12.5	NULO	43	14
1982-04-20	24	NULO	40	13
1982-04-21	2	NULO	35	12
1982-04-22	0	NULO	34	10
1982-04-23	0	NULO	23	10
1982-04-24	0	NULO	25	11
1982-04-25	0	NULO	42	13
1982-04-26	0	NULO	42	11
1982-04-27	0	NULO	41	13
1982-04-28	0	NULO	41	14
1982-04-29	0	NULO	42	13
1982-04-30	0	NULO	40	15
1982-05-01	0	NULO	31	14
1982-05-02	0	NULO	29	13
1982-05-03	0	NULO	39	12
1982-05-04	0	NULO	35	12
1982-05-05	0	NULO	33	13
1982-05-06	0	NULO	28	11
1982-05-07	6.3	NULO	32	10
1982-05-08	0	NULO	29	8
1982-05-09	0	NULO	42	13
1982-05-10	0	NULO	43	14
1982-05-11	0.5	NULO	43	16
1982-05-12	0	NULO	38	14
1982-05-13	0.6	NULO	42	15
1982-05-14	0	NULO	32	13
1982-05-15	15.2	NULO	31	14
1982-05-16	4.7	NULO	39	15
1982-05-17	5.5	NULO	39	13
1982-05-18	0.4	NULO	35	13
1982-05-19	0	NULO	38	12
1982-05-20	0	NULO	38	15
1982-05-21	0	NULO	24	14
1982-05-22	0	NULO	26	13
1982-05-23	0	NULO	38	14
1982-05-24	0	NULO	39	15
1982-05-25	0	NULO	33	16
1982-05-26	0	NULO	27	17
1982-05-27	0	NULO	30	15
1982-05-28	0	NULO	33	14
1982-05-29	0	NULO	33	15
1982-05-30	0	NULO	32	17
1982-05-31	0	NULO	31	15
1982-06-01	0	NULO	31	15
1982-06-02	0	NULO	33	13
1982-06-03	0	NULO	35	12
1982-06-04	0	NULO	36	15
1982-06-05	0	NULO	34	12
1982-06-06	0	NULO	32	15
1982-06-07	0	NULO	33	15
1982-06-08	0	NULO	35	14
1982-06-09	0	NULO	32	15
1982-06-10	0	NULO	30	12
1982-06-11	0	NULO	29	13
1982-06-12	0	NULO	30	14
1982-06-13	0	NULO	30	13
1982-06-14	0	NULO	33	14
1982-06-15	0	NULO	32	13
1982-06-16	0	NULO	32	13
1982-06-17	0	NULO	31	13
1982-06-18	0	NULO	34	12
1982-06-19	0	NULO	32	13
1982-06-20	0	NULO	29	13
1982-06-21	0	NULO	32	14
1982-06-22	0	NULO	31	13
1982-06-23	0	NULO	30	12
1982-06-24	0	NULO	32	13
1982-06-25	0	NULO	31	14
1982-06-26	0	NULO	31	14
1982-06-27	0	NULO	30	13
1982-06-28	0	NULO	31	12
1982-06-29	0	NULO	28	13
1982-06-30	0	NULO	24	12
1982-07-01	0	NULO	29	12
1982-07-02	0	NULO	27	13
1982-07-03	0	NULO	29	15
1982-07-04	0	NULO	31	14
1982-07-05	0	NULO	30	13
1982-07-06	0	NULO	30	13
1982-07-07	0	NULO	31	14
1982-07-08	0	NULO	29	15
1982-07-09	0	NULO	30	13
1982-07-10	0	NULO	30	12
1982-07-11	0	NULO	30	15
1982-07-12	0	NULO	31	13
1982-07-13	0	NULO	31	14
1982-07-14	0	NULO	31	12
1982-07-15	0	NULO	30	13
1982-07-16	0	NULO	28	13
1982-07-17	0	NULO	28	11
1982-07-18	0	NULO	25	14
1982-07-19	0	NULO	27	12
1982-07-20	0	NULO	29	13
1982-07-21	0	NULO	30	14
1982-07-22	0	NULO	31	12
1982-07-23	0	NULO	27	11
1982-07-24	1	NULO	29	10
1982-07-25	NULO	NULO	NULO	NULO
1982-07-30	0	NULO	NULO	NULO
1982-07-31	0	NULO	28	11
1982-08-01	0	5.1	29	13
1982-08-02	0	6.7	30	11
