COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 21/03/2025 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MARCH DE 2025; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 22062 
 NOMBRE    : GUILLEN 
 ESTADO    : QUERÉTARO 
 MUNICIPIO : PEÑAMILLER 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 21.04 ° 
 LONGITUD  : -99.86277778 ° 
 ALTITUD   : 1370 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1982-02-15	0	NULO	NULO	NULO
1982-02-16	0	NULO	31	10
1982-02-17	0	NULO	32	11
1982-02-18	0	NULO	30.5	9
1982-02-19	0	NULO	32.5	9.5
1982-02-20	0	6.2	34	13.5
1982-02-21	0	7.3	34.5	13
1982-02-22	0	8	30	12
1982-02-23	0	9	36	9.5
1982-02-24	0	8.5	37	10
1982-02-25	6	6.9	33.5	12
1982-02-26	3	5.5	30	10
1982-02-27	0	3.4	28.5	6
1982-02-28	0.5	3.9	31	6
1982-03-01	0	1.8	22	7
1982-03-02	0	5.5	26	9
1982-03-03	0	8.1	36	8
1982-03-04	0	10.5	38	8
1982-03-05	0	9.1	39	12
1982-03-06	0	8.3	32	9
1982-03-07	0	7.8	26	6
1982-03-08	0	6.4	33.5	2
1982-03-09	0	7.6	36.5	3
1982-03-10	0	8.4	38	6
1982-03-11	0	7	40	10
1982-03-12	0	10.5	40.5	11
1982-03-13	0	10.1	39	14
1982-03-14	0	10	37.5	14
1982-03-15	0	10.8	38	15
1982-03-16	0	10	37	15
1982-03-17	0	9.1	38	16.5
1982-03-18	0	8.7	35	16
1982-03-19	0	7.8	36	12
1982-03-20	0	7.2	36.5	13
1982-03-21	0	8.4	37	13.5
1982-03-22	3	9.6	35.5	14
1982-03-23	0	8	34.5	14
1982-03-24	0	8.5	36	13
1982-03-25	0	8.9	36.5	14.5
1982-03-26	0	8.6	36	15
1982-03-27	0	9.1	36.5	16
1982-03-28	0	9.3	37	14.5
1982-03-29	0	9.5	37.5	15.5
1982-03-30	0	9.9	38.5	16
1982-03-31	0	9.4	37.5	12
1982-04-01	0	9.3	37	15.5
1982-04-02	0	10.3	39	15
1982-04-03	0	10.4	37	17
1982-04-04	0	10.6	39	16
1982-04-05	0	10.8	40.5	16
1982-04-06	0	10.1	36.5	17
1982-04-07	0	10.5	38	17.5
1982-04-08	0	10.3	37.5	18
1982-04-09	0	10	37.5	17
1982-04-10	0	10.7	37	15
1982-04-11	0	7	29	16
1982-04-12	0	10.1	36.5	12
1982-04-13	0	10.1	38	15
1982-04-14	0	10.3	39.5	17
1982-04-15	0	10.5	39	18
1982-04-16	0	10	38.5	18
1982-04-17	0	10.1	39	18.5
1982-04-18	0	10.6	38.5	17
1982-04-19	19.5	10.8	37.5	16.5
1982-04-20	8.5	7.9	34	15
1982-04-21	5.5	6.4	28	14
1982-04-22	0	4.7	25	13.5
1982-04-23	0	7	26.5	12
1982-04-24	0	7.3	27.5	12.5
1982-04-25	0	7.7	30	13.5
1982-04-26	0	7.9	33	15
1982-04-27	0	8	34	14
1982-04-28	0	8.3	35.5	16
1982-04-29	0	10	31.5	12
1982-04-30	0	10.9	33	16
1982-05-01	0	10.3	34	15
1982-05-02	0	10.4	33	16.5
1982-05-03	0	10.8	31	17.5
1982-05-04	0	9.3	34	14
1982-05-05	0	8.5	34.5	14
1982-05-06	0	10.3	33.5	15
1982-05-07	4.5	9.1	30	17
1982-05-08	0.5	9.6	31	14
1982-05-09	0	10.3	35	15
1982-05-10	0	8.8	36.5	15
1982-05-11	0	7.4	36	16.5
1982-05-12	2	5.4	35	16
1982-05-13	0	9.2	36	15
1982-05-14	0	7	36	18
1982-05-15	27.5	6.4	31	16.5
1982-05-16	14	5.1	26.5	14.5
1982-05-17	10.5	7.1	26	14
1982-05-18	0	6	30.5	14
1982-05-19	0	5.4	31	13.5
1982-05-20	17.5	5.8	30.5	15
1982-05-21	0	3.7	25	14.5
1982-05-22	0	4.3	27	15
1982-05-23	0	4.7	27.5	15
1982-05-24	0	5.3	29	16
1982-05-25	0	NULO	37	16
1982-06-01	0	8	38.5	15
1982-06-02	0	10.3	38.5	16
1982-06-03	0	10.7	39.5	16
1982-06-04	0	10.1	39	15
1982-06-05	0	9.7	38.5	16
1982-06-06	0	9.6	38	15
1982-06-07	0	10.1	39.5	14.5
1982-06-08	0	NULO	NULO	NULO
1982-06-09	0	NULO	NULO	NULO
1982-06-10	0	NULO	NULO	NULO
1982-06-11	0	NULO	NULO	NULO
1982-06-12	0	NULO	NULO	NULO
1982-06-13	0	NULO	NULO	NULO
1982-06-14	0	NULO	NULO	NULO
1982-06-15	0	NULO	NULO	NULO
1982-06-16	0	NULO	NULO	NULO
1982-06-17	0	NULO	NULO	NULO
1982-06-18	0	NULO	37	17.5
1982-06-19	0	NULO	35	16
1982-06-20	0	NULO	36.5	14.5
1982-06-21	0	NULO	36	16
1982-06-22	0	NULO	35.5	15
1982-06-23	0	NULO	34.5	15.5
1982-06-24	0	8.5	35	15.5
1982-06-25	0	9.1	35.5	15
1982-06-26	0	8.9	35	15.5
1982-06-27	0	8.1	34	15
1982-06-28	0	7.8	34	14.5
1982-06-29	0	7.4	34	17
1982-06-30	0.5	6.6	30	15
1982-07-01	5	6.8	30	17
1982-07-02	0	7.1	30	14.5
1982-07-03	9.5	7.8	32	14
1982-07-04	0	8.2	32	15
1982-07-05	0	NULO	NULO	NULO
1982-07-06	0	NULO	NULO	NULO
1982-07-07	0	NULO	NULO	NULO
1982-07-08	0	NULO	NULO	NULO
1982-07-09	0	NULO	NULO	NULO
1982-07-10	0	NULO	NULO	NULO
1982-07-11	0	NULO	NULO	NULO
1982-07-12	0	NULO	NULO	NULO
1982-07-13	0	NULO	NULO	NULO
1982-07-14	0	NULO	NULO	NULO
1982-07-15	0	NULO	NULO	NULO
1982-07-16	0	NULO	NULO	NULO
1982-07-17	0	8.7	33.5	15
1982-07-18	0	9.2	32.5	14
1982-07-19	0	8.3	33	13
1982-07-20	0	7.8	31	14.5
