COMISI?ÙN NACIONAL DEL AGUA,,,,,
COORDINACI?ÙN GENERAL DEL SERVICIO METEOROL?ÙGICO NACIONAL,,,,,
BASE DE DATOS CLIMATOL?ÙGICA NACIONAL ,,,,,
,,,,,
REGISTRO DIARIO HIST?ÙRICO,,,,,
EMISI?ÙN   : 21/03/2025 ,,,,,
,,,,,
DATOS DISPONIBLES EN LA BASE DE DATOS A: MARCH DE 2025; ,,,,,
CON LA INFORMACI?ÙN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS ,,,,,
,,,,,
 ESTACI?ÙN  : 22047 ,,,,,
 NOMBRE    : PRESA EL CAPULIN ,,,,,
 ESTADO    : QUER?ÎTARO ,,,,,
 MUNICIPIO : AMEALCO DE BONFIL ,,,,,
 SITUACI?ÙN : OPERANDO ,,,,,
 CVE-OMM   :   ,,,,,
 LATITUD   : 20.12916667 ?? ,,,,,
 LONGITUD  : -100.0097222 ?? ,,,,,
 ALTITUD   : 2746 msnm ,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
FECHA,PRECIP,EVAP,TMAX,TMIN,
,(mm),(mm),(??C,),(??C)
1/1/2000,0,6.45,25,5,
2/1/2000,0,4.3,18,6,
3/1/2000,0,5.18,20,6,
4/1/2000,0,4.17,23,6,
5/1/2000,0,4.15,22,7,
6/1/2000,0,4.2,21,10,
7/1/2000,0,5.2,22,6,
8/1/2000,0,4.2,24,6,
9/1/2000,0,8.17,26,6,
10/1/2000,0,7.52,24,8,
11/1/2000,0,5.7,24,5,
12/1/2000,0,5.9,23,4,
13/01/2000,0,1.95,23,7,
14/01/2000,0,8.6,21,7,
15/01/2000,0,6.75,20,6,
16/01/2000,0,5.35,21,4,
17/01/2000,0,8.44,24,4,
18/01/2000,0,7.16,24,7,
19/01/2000,0,6.45,25,7,
20/01/2000,0,7.3,23,6,
21/01/2000,0,6.59,26,4,
22/01/2000,0,6.36,25,9,
23/01/2000,0,4.4,25,7,
24/01/2000,0,4.1,26,7,
25/01/2000,0,5.7,25,9,
26/01/2000,0,6.89,26,9,
27/01/2000,0,8.76,27,9,
