COMISI?ÙN NACIONAL DEL AGUA,,,,,
COORDINACI?ÙN GENERAL DEL SERVICIO METEOROL?ÙGICO NACIONAL,,,,,
BASE DE DATOS CLIMATOL?ÙGICA NACIONAL ,,,,,
,,,,,
REGISTRO DIARIO HIST?ÙRICO,,,,,
EMISI?ÙN   : 21/03/2025 ,,,,,
,,,,,
DATOS DISPONIBLES EN LA BASE DE DATOS A: MARCH DE 2025; ,,,,,
CON LA INFORMACI?ÙN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS ,,,,,
,,,,,
 ESTACI?ÙN  : 22057 ,,,,,
 NOMBRE    : PE?ÊAMILLER (DGE) ,,,,,
 ESTADO    : QUER?ÎTARO ,,,,,
 MUNICIPIO : PE?ÊAMILLER ,,,,,
 SITUACI?ÙN : OPERANDO ,,,,,
 CVE-OMM   :   ,,,,,
 LATITUD   : 21.05 ?? ,,,,,
 LONGITUD  : -99.8 ?? ,,,,,
 ALTITUD   : 1341 msnm ,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
FECHA,PRECIP,EVAP,TMAX,TMIN,
,(mm),(mm),(??C,),(??C)
1/1/2000,0,4.07,32,6,
2/1/2000,0,3.11,32,7,
3/1/2000,0,4.34,33,8,
4/1/2000,0,1.33,19,10,
5/1/2000,0,3.7,26,1,
6/1/2000,0,5.47,29,2,
7/1/2000,0,1.52,27,4,
8/1/2000,0,4.75,28,5,
9/1/2000,0,5.22,30,6,
10/1/2000,0,3.18,29,8,
11/1/2000,0,4.3,29,6,
12/1/2000,0,4.65,31,6,
13/01/2000,0,3.97,28,6,
14/01/2000,0,0.97,19,7,
15/01/2000,0,2.4,20,11,
16/01/2000,0,4.35,24,13,
17/01/2000,0,4.31,23,10,
18/01/2000,0,4.2,25,10,
19/01/2000,0,4.16,28,4,
20/01/2000,0,5.01,29,3,
21/01/2000,0,3.94,27,3,
22/01/2000,0,4.58,30,5,
23/01/2000,0,5.15,32,8,
24/01/2000,0,4.83,26,8,
25/01/2000,0,4.71,32,8,
26/01/2000,0,3.86,30,7,
27/01/2000,0,5.13,34,7,
28/01/2000,0,3.4,31,10,
29/01/2000,0,3.28,29,10,
30/01/2000,0,3.99,31,8,
31/01/2000,0,5.04,31,7,
1/2/2000,0,4.9,32,6,
2/2/2000,0,5.25,29,7,
3/2/2000,0,2.68,22,8,
4/2/2000,0,2.24,26,4,
5/2/2000,0,3.76,23,4,
6/2/2000,0,5.34,27,5,
7/2/2000,0,4.79,29,6,
8/2/2000,0,1.18,21,7,
9/2/2000,0,4.99,26,4,
10/2/2000,0,5.68,33,5,
11/2/2000,0,5.75,34,5,
12/2/2000,0,4.92,34,8,
13/02/2000,0,5.9,35,9,
